buildingname_en,buildingname_fr,address,city,province,postalcode
,,1115 57th Avenue NE,Calgary,AB,T2E9B2
,,3650 36th Street North West,Calgary,AB,T2L2L1
,,110 Country Hills Landing NW,Calgary,AB,T3K5P3
,,6503 67th Street,Red Deer,AB,T4P1A3
,,8403 Coronet Road North West,Edmonton,AB,T6B3B2
,,6947 Highway 7,Agassiz,BC,V0M1A0
,,17735 1st Avenue,Surrey,BC,V3Z9S1
,,3001 Wayburne Drive,Burnaby,BC,V5C4W3
,,4321 Still Creek Drive,Burnaby,BC,V5C6S7
,,3155 Willingdon Green,Burnaby,BC,V5G4P2
,,8801 East Saanich Road,North Saanich,BC,V8L1H3
,,19 Main Street,Carman,MB,R0J0J0
,,269 Main Street,Winnipeg,MB,R3C1B2
,,1015 Arlington Street,Winnipeg,MB,R3E3M4
,,2701 Grand Valley Road,Brandon,MB,R7A5Y3
,,302 Main Street South,Dauphin,MB,R7N1K7
,,33 Weldon Street,Moncton,NB,E1C0N5
,,1081 Main Street,Moncton,NB,E1C8R2
,,850 Lincoln Road,Fredericton,NB,E3B5G4
,,500 Beaverbrook Court,Fredericton,NB,E3B5X4
,,99 Mount Pleasant Road,St. George,NB,E5C3S9
,,8768 Main Street,Florenceville-Bristol,NB,E7L3G3
,,21 Hallet Crescent,St. John's,NL,A1B4C4
,,10 Barter's Hill,St. John's,NL,A1C5K4
,,1992 Agency Drive,Dartmouth,NS,B3B1Y9
,,1400 Merivale Road,Ottawa,ON,K1A0C5
,,49 Camelot Drive,Ottawa,ON,K1A0C5
,,59 Camelot Drive,Ottawa,ON,K1A0Y9
,,3851 Fallowfield Road,Nepean,ON,K1A0Y9
,,345 College Street East,Belleville,ON,K8N5S7
,,395 Ontario Street,St. Catherines,ON,L2N7N6
,,145 Renfrew Drive,Markham,ON,L3R9R6
,,500 Huronia Road,Barrie,ON,L4N8X3
,,1050 Courtneypark Drive East,Mississauga,ON,L5T2R4
,,1124 Finch Ave West,Toronto,ON,M2J2E2
,,19 Ontario Street,Walkerton,ON,N0G2V0
,,174 Stone Road West,Guelph,ON,N1G4S9
,,259 Woodlawn Road West,Guelph,ON,N1H8J1
,,1200 Commissioners Road East,London,ON,N5Z4R3
,,93 Mount Edward Road,Charlottetown,PE,C1A5T1
,,690 University Avenue,Charlottetown,PE,C1E1E3
,,2954 Laurier Boulevard,Québec,QC,G1V5C7
,,2001 Robert-Bourassa Boulevard,Montreal,QC,H3A3N2
,,3225 Cusson Avenue,St-Hyacinthe,QC,J2S0H7
,,3200 Sicotte Street,St-Hyacinthe,QC,J2S2M2
,,3400 Casavant Boulevard West,St-Hyacinthe,QC,J2S8E3
,,17660 Charles Street,Mirabel,QC,J7J0C3
,,1800 11th Avenue,Regina,SK,S4P0H8
,,116 Veterinary Road,Saskatoon,SK,S7N2R3
,,421 Downey Road,Saskatoon,SK,S7N4L8
